Bebop, 2, 2, 1, 2, 2, 1, 1
Country Blues, 3, 1, 3, 2
Major Blues, 2, 1, 1, 3, 1
Minor Blues, 3, 2, 1, 1, 3
Whole Tone, 2, 2, 2, 2, 2
Diminished, 2, 1, 2, 1, 2, 1, 2
Augmented, 3, 1, 3, 1, 3
Major Pentatonic, 2, 2, 3, 2
Minor Pentatonic, 3, 2, 2, 3
Harmonic, 2, 1, 2, 2, 1, 3
Melodic, 2, 1, 2, 2, 2, 2
