"Major", "Major", 1, 3, 5
"Major", "Major 6th", 1, 3, 5, 6
"Major", "Major 7th", 1, 3, 5, 7
"Major", "Major 7th (flat5)", 1, 3, flat5, 7
"Major", "Major 9th", 1, 3, 5, 7, 9
"Major", "Major 11th", 1, 3, 5, 7, 9, 11
"Major", "Major 13th", 1, 3, 5, 7, 9, 11, 13
"Minor", "Minor", 1, flat3, 5
"Minor", "Minor 6th", 1, flat3, 5, 6
"Minor", "Minor 7th", 1, flat3, 5, flat7
"Minor", "Minor 7th (flat5)", 1, flat3, flat5, flat7
"Minor", "Minor 9th", 1, flat3, 5, flat7, 9
"Minor", "Minor 11th", 1, flat3, 5, flat7, 9, 11
"Dominant", "Dominant 7th", 1, 3, 5, flat7
"Dominant", "Dominant 7th (flat5)", 1, 3, flat5, flat7
"Dominant", "Dominant 9th", 1, 3, 5, flat7, 9
"Dominant", "Dominant 11th", 1, 3, 5, flat7, 9, 11
"Dominant", "Dominant 13th", 1, 3, 5, flat7, 9, 11, 13
"Dominant", "Dominant 7th Sus 4", 1, 4, 5, flat7
"Sus", "Sus 2nd", 1, 2, 5
"Sus", "Sus 4th", 1, 4, 5
"Diminished", "Diminished", 1, flat3, flat5
"Diminished", "Diminished 7th", 1, flat3, flat5, flatflat7
"Diminished", "Half Diminished 7th", 1, flat3, flat5, flat7
"Augmented", "Augmented", 1, 3, sharp5
"Augmented", "Augmented 7th", 1, 3, sharp5, flat7
"Augmented", "Augmented 7th (flat9)", 1, 3, sharp5, flat7, flat9
